prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,suite,variant,sweep,sweep_parameter,sweep_value
0.34575,0.7966665478595235,0.7198796061136279,0.01,40.0,1.0,0.028922631959508314,0.01,0.20535068691250905,0.0004726453564944676,0.9250814332247557,0.20535068691250905,0.336094674556213,0.35119932040885027,0.008788689338937715,0.7966665478595235,0.7198796061136279,0.0002523598513707839,0.2819959379008878,0.2806360145778395,4000,0.00039871355099603534,TraceLog,ssl_augmentation_tracelog/no_ssl,11,15,117.46341177262366,3867.62890625,1570.78515625,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,no_ssl,,,
0.34575,0.8158152200791807,0.7290612025792533,0.01,40.0,1.0,0.028922631959508314,0.01,0.3029645697758496,0.00020002144534373654,0.93058568329718,0.31019522776572667,0.46529284164859,0.4438038692231521,0.01222774168895682,0.8158152200791807,0.7290612025792533,0.00015162042220435979,0.6625499991572982,0.5658925541486097,4000,0.000417722063139081,TraceLog,ssl_augmentation_tracelog/no_ssl,22,15,125.64969952777028,4100.96875,1570.78515625,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,no_ssl,,,
0.34575,0.7809109247588837,0.7021357001509081,0.01,40.0,1.0,0.028922631959508314,0.01,0.21691973969631237,0.00045335939474171026,0.9186746987951807,0.2205350686912509,0.3556851311953353,0.36240899088208767,0.010317157050057318,0.7809109247588837,0.7021357001509081,0.00026238752968856714,0.5183700709886495,0.5099683461667722,4000,0.00041547733126208187,TraceLog,ssl_augmentation_tracelog/no_ssl,33,15,130.98419362865388,4109.94140625,1570.78515625,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,no_ssl,,,
0.34575,0.8083961284343899,0.7342979013212207,0.01,40.0,1.0,0.028922631959508314,0.01,0.24656543745480838,0.0020553786400705574,0.9304347826086956,0.23210412147505424,0.3715277777777778,0.37768930541406054,0.009170806266717615,0.8085739247055586,0.731937449283267,0.0009052193390525644,0.5576401143753604,0.5817170864786183,4000,0.0004513716506771743,TraceLog,ssl_augmentation_tracelog/edge_perturbation,11,6,70.65390659868717,4080.3203125,2586.70751953125,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,edge_perturbation,,,
0.34575,0.7945092311768732,0.707484959063754,0.01,40.0,1.0,0.028922631959508314,0.01,0.17715112075198844,0.002157815601676694,0.918854415274463,0.2783803326102675,0.42730299667036625,0.4121787950127467,0.012991975544516622,0.7934333357923649,0.7038848193677614,0.0010065044492876042,0.6518005775132338,0.6369308762088898,4000,0.0008665534905157983,TraceLog,ssl_augmentation_tracelog/edge_perturbation,22,5,62.588273875415325,4085.34375,2586.70751953125,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,edge_perturbation,,,
0.34575,0.7794212765910418,0.6998208605945851,0.01,40.0,1.0,0.028922631959508314,0.01,0.26174981923355023,0.002353321523405609,0.9402597402597402,0.26174981923355023,0.4095022624434389,0.40792679031495355,0.008788689338937715,0.7789120636496836,0.6982960001044528,0.0009919274444982874,0.6661871555110904,0.6556357656191664,4000,0.000508178670424968,TraceLog,ssl_augmentation_tracelog/edge_perturbation,33,6,81.07258468680084,4085.3671875,2586.70751953125,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,edge_perturbation,,,
0.34575,0.8097427935869562,0.7205547716679639,0.01,40.0,1.0,0.028922631959508314,0.01,0.24295010845986983,0.0019081515551079065,0.9331476323119777,0.24222704266088213,0.38461538461538464,0.3878074219097638,0.009170806266717615,0.8091283119908734,0.7187549590701843,0.0008860266573901754,0.5530395149795084,0.5824645598476628,4000,0.0009447634597308934,TraceLog,ssl_augmentation_tracelog/edge_addition,11,6,80.40140600688756,4086.44921875,2769.4716796875,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,edge_addition,,,
0.34575,0.7971705111829296,0.7308808049357423,0.01,40.0,1.0,0.028922631959508314,0.01,0.36225596529284165,0.002113125997129828,0.947069943289225,0.36225596529284165,0.5240585774058577,0.4935750258839095,0.010699273977837218,0.7974294002366749,0.7311902376957056,0.0008904874880608986,0.5794557306625487,0.6170140524998405,4000,0.0005357134169898928,TraceLog,ssl_augmentation_tracelog/edge_addition,22,6,76.95982324890792,4086.41796875,2769.4716796875,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,edge_addition,,,
0.34575,0.7786081383998226,0.7128364480793545,0.01,40.0,1.0,0.028922631959508314,0.01,0.24439624005784527,0.0004573550043278373,0.9239130434782609,0.24584237165582068,0.3883495145631068,0.3869442141923382,0.010699273977837218,0.7813697137383331,0.7138769508072615,0.0004875177089834324,0.49186074366087906,0.5226887739286692,4000,0.00047930718306452035,TraceLog,ssl_augmentation_tracelog/edge_addition,33,15,194.12322529405355,4086.41796875,2769.4716796875,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,edge_addition,,,
0.34575,0.802748920996289,0.7284047820295476,0.01,40.0,1.0,0.028922631959508314,0.01,0.24222704266088213,0.0005315047921612858,0.9302325581395349,0.2313810556760665,0.3705848291835553,0.3769595266128154,0.009170806266717615,0.8027533417271961,0.728409900920196,0.00022622087071158604,0.7371940405231825,0.6047479544330053,4000,0.0004414878422394395,TraceLog,ssl_augmentation_tracelog/node_type_swap,11,15,191.4765204191208,4086.85546875,2769.4716796875,8570625,cuda,normal_train_scores,negative_mean_svdd_loss,test,2000,4000,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_tracelog,node_type_swap,,,
