dataset,seed,path,mode,auc,ap,num_graphs,prevalence
FlowGraph,11,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_11/test_predictions.csv,wrong_product_svdd_x_ssl_probability,0.9834400000000001,0.9851689804473747,225,0.4444444444444444
FlowGraph,22,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_22/test_predictions.csv,svdd,0.98376,0.9855131316201058,225,0.4444444444444444
FlowGraph,22,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_22/test_predictions.csv,ssl_anomaly,0.009120000000000001,0.26886997244627814,225,0.4444444444444444
FlowGraph,22,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_22/test_predictions.csv,product_svdd_x_ssl_anomaly,0.9829600000000001,0.9850671709676078,225,0.4444444444444444
FlowGraph,22,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_22/test_predictions.csv,paper_product_svdd_x_1_plus_ssl_anomaly,0.98368,0.985462258033261,225,0.4444444444444444
FlowGraph,22,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_22/test_predictions.csv,wrong_product_svdd_x_ssl_probability,0.9840800000000001,0.9856913249347625,225,0.4444444444444444
FlowGraph,33,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_33/test_predictions.csv,svdd,0.63328,0.47991917718509236,225,0.4444444444444444
FlowGraph,33,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_33/test_predictions.csv,ssl_anomaly,0.9692,0.9779985631057793,225,0.4444444444444444
FlowGraph,33,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_33/test_predictions.csv,product_svdd_x_ssl_anomaly,0.65656,0.49737566795828164,225,0.4444444444444444
FlowGraph,33,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_33/test_predictions.csv,paper_product_svdd_x_1_plus_ssl_anomaly,0.64144,0.48469429439151474,225,0.4444444444444444
FlowGraph,33,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_33/test_predictions.csv,wrong_product_svdd_x_ssl_probability,0.62584,0.4756204997372867,225,0.4444444444444444
FlowGraph,44,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_44/test_predictions.csv,svdd,0.9621599999999999,0.9754401837293252,225,0.4444444444444444
FlowGraph,44,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_44/test_predictions.csv,ssl_anomaly,0.9692,0.9779985631057793,225,0.4444444444444444
FlowGraph,44,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_44/test_predictions.csv,product_svdd_x_ssl_anomaly,0.9622399999999999,0.9754666301887379,225,0.4444444444444444
FlowGraph,44,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_44/test_predictions.csv,paper_product_svdd_x_1_plus_ssl_anomaly,0.9622399999999999,0.9754666301887379,225,0.4444444444444444
FlowGraph,44,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_44/test_predictions.csv,wrong_product_svdd_x_ssl_probability,0.9621599999999999,0.9754401837293252,225,0.4444444444444444
FlowGraph,55,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_55/test_predictions.csv,svdd,0.0308,0.26928076811837043,225,0.4444444444444444
FlowGraph,55,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_55/test_predictions.csv,ssl_anomaly,0.96656,0.976988182760187,225,0.4444444444444444
FlowGraph,55,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_55/test_predictions.csv,product_svdd_x_ssl_anomaly,0.0308,0.26922331270377214,225,0.4444444444444444
FlowGraph,55,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_55/test_predictions.csv,paper_product_svdd_x_1_plus_ssl_anomaly,0.0308,0.26922331270377214,225,0.4444444444444444
FlowGraph,55,artifacts/results/FlowGraph/full_flowgraph/HRA-GNN/seed_55/test_predictions.csv,wrong_product_svdd_x_ssl_probability,0.0308,0.26922331270377214,225,0.4444444444444444
