dataset,setting,n,auc_mean,auc_std,ap_mean,ap_std,best_auc,best_ap
TraceLog,offline paper_product,5,0.8112674759392245,0.024291820848046125,0.7293425535769239,0.035984013247451145,0.8365303700923431,0.7617695146923196
TraceLog,offline product,5,0.8109344818036132,0.02535809905028554,0.7289683642154223,0.03807435411697569,0.8329370112113226,0.7647689395291136
TraceLog,offline wrong_direction,5,0.8074927361198423,0.026170224231099826,0.726479919842714,0.03471076929758554,0.8364406863761649,0.7567218917702174
FlowGraph,offline paper_product,5,0.720352,0.3684725265416676,0.7400237252596332,0.3041928211153401,0.98368,0.985462258033261
FlowGraph,offline product,5,0.72328,0.36780625508547293,0.7425149698068206,0.30206287127426934,0.98384,0.9854420672157038
FlowGraph,offline wrong_direction,5,0.7172639999999999,0.36921691800891243,0.7382288603105042,0.30575011398790236,0.98408,0.9856913249347624
TraceLog,retrain product,5,0.8212645169204856,0.02024593491662183,0.761764346999416,0.0177235394825595,0.8416648914669118,0.7776892293614367
FlowGraph,retrain product,5,0.60568,0.4688052559432328,0.7014696013967716,0.35288201093707283,0.99848,0.9981358083310856
