variant,unigram_weight,markov_weight,auc,ap,full_auc,full_ap
HRA-GNN SVDD,0.0,0.0,0.83596,0.770812,0.8298647989030855,0.5181994135786776
HRA-GNN + unigram,0.5,0.0,0.8540660000000001,0.8366845251233076,0.851785306937396,0.6354487161368729
HRA-GNN + Markov,0.0,0.25,0.8556539999999999,0.8260694311891927,0.8529332407791234,0.6065341359393959
HRA-GNN + unigram + Markov,0.5,0.25,0.8584479999999999,0.8475272379868943,0.8568949002793796,0.6594796138605515
