dataset,auc_count,auc_mean,auc_std,auc_min,auc_median,auc_max,ap_count,ap_mean,ap_std,ap_min,ap_median,ap_max
ADFA-LD,22,0.8009123459526524,0.018431012381419958,0.7597914709496698,0.80317441726414,0.8298647989030855,22,0.49848296517361473,0.010570814545474334,0.4750479630294101,0.4981582512637027,0.5181994135786776
FlowGraph,22,0.8605745454545454,0.31825606187661554,0.0308,0.97972,1.0,22,0.89076268260615,0.24860645177507548,0.2692233127037721,0.9830542216333784,1.0
HDFS,22,0.7394030149877675,0.009319749534061264,0.7266433993945205,0.738747754575641,0.7573497083565377,22,0.6381984358806503,0.00539007661270717,0.6302664205660784,0.6366203323927844,0.653733842460178
TraceLog,22,0.7974237612929894,0.01891226478114084,0.7512172896996141,0.8020330388850253,0.8271538422644531,22,0.7355746584085451,0.021600014343499434,0.7013496611226235,0.7378519374999649,0.776539388023722
