dataset,graph_id,method,changed,node_count,edge_count,edge_count_delta,edge_jaccard,node_type_change_rate,edge_type_change_rate,schema_valid,duplicate_edge_fraction,self_loop_fraction
TraceLog,79118,edge_perturbation,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,79118,edge_addition,1,4,3,1,0.75,0.0,0.0,1,0.0,0.0
TraceLog,79118,node_type_swap,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,79118,edge_type_swap,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,79845,edge_perturbation,0,10,10,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,79845,edge_addition,1,10,10,1,0.9090909090909091,0.0,0.0,1,0.0,0.0
TraceLog,79845,node_type_swap,0,10,10,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,79845,edge_type_swap,0,10,10,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,43548,edge_perturbation,1,27,29,0,0.8709677419354839,0.0,0.0,1,0.0,0.0
TraceLog,43548,edge_addition,1,27,29,4,0.90625,0.0,0.0,1,0.030303030303030276,0.0
TraceLog,43548,node_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,43548,edge_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124458,edge_perturbation,0,13,13,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124458,edge_addition,1,13,13,2,0.9285714285714286,0.0,0.0,1,0.06666666666666665,0.0
TraceLog,124458,node_type_swap,0,13,13,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124458,edge_type_swap,0,13,13,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,26403,edge_perturbation,1,311,311,0,0.7720797720797721,0.0,0.0,1,0.0,0.0
TraceLog,26403,edge_addition,1,311,311,40,0.8885714285714286,0.0,0.0,1,0.002849002849002802,0.0
TraceLog,26403,node_type_swap,0,311,311,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,26403,edge_type_swap,0,311,311,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,87628,edge_perturbation,1,27,29,0,0.7575757575757576,0.0,0.0,1,0.0,0.0
TraceLog,87628,edge_addition,1,27,29,4,0.90625,0.0,0.0,1,0.030303030303030276,0.0
TraceLog,87628,node_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,87628,edge_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,53889,edge_perturbation,1,531,598,0,0.7718518518518519,0.0,0.0,1,0.0,0.0
TraceLog,53889,edge_addition,1,531,598,78,0.8846153846153846,0.0,0.0,1,0.0,0.0
TraceLog,53889,node_type_swap,0,531,598,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,53889,edge_type_swap,0,531,598,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,119589,edge_perturbation,1,561,630,0,0.7696629213483146,0.0,0.0,1,0.0,0.0
TraceLog,119589,edge_addition,1,561,630,82,0.8848314606741573,0.0,0.0,1,0.0,0.0
TraceLog,119589,node_type_swap,0,561,630,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,119589,edge_type_swap,0,561,630,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,47051,edge_perturbation,1,153,172,0,0.7731958762886598,0.0,0.0,1,0.0,0.0
TraceLog,47051,edge_addition,1,153,172,22,0.8865979381443299,0.0,0.0,1,0.0,0.0
TraceLog,47051,node_type_swap,0,153,172,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,47051,edge_type_swap,0,153,172,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,88207,edge_perturbation,1,354,401,0,0.7743362831858407,0.0,0.0,1,0.0,0.0
TraceLog,88207,edge_addition,1,354,401,52,0.8852097130242825,0.0,0.0,1,0.0,0.0
TraceLog,88207,node_type_swap,0,354,401,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,88207,edge_type_swap,0,354,401,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,77880,edge_perturbation,1,113,112,0,0.7637795275590551,0.0,0.0,1,0.0,0.0
TraceLog,77880,edge_addition,1,113,112,15,0.8818897637795275,0.0,0.0,1,0.0,0.0
TraceLog,77880,node_type_swap,1,113,112,0,1.0,0.03539822995662689,0.0,1,0.0,0.0
TraceLog,77880,edge_type_swap,0,113,112,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,90620,edge_perturbation,1,44,49,0,0.8846153846153846,0.0,0.0,1,0.0,0.0
TraceLog,90620,edge_addition,1,44,49,6,0.9074074074074074,0.0,0.0,1,0.018181818181818188,0.0
TraceLog,90620,node_type_swap,0,44,49,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,90620,edge_type_swap,0,44,49,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,43215,edge_perturbation,0,10,10,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,43215,edge_addition,1,10,10,1,0.9090909090909091,0.0,0.0,1,0.0,0.0
TraceLog,43215,node_type_swap,0,10,10,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,43215,edge_type_swap,0,10,10,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124073,edge_perturbation,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124073,edge_addition,1,11,11,1,1.0,0.0,0.0,1,0.08333333333333337,0.0
TraceLog,124073,node_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124073,edge_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,117798,edge_perturbation,1,841,962,0,0.7700091996320148,0.0,0.0,1,0.0,0.0010395010467618704
TraceLog,117798,edge_addition,1,841,962,125,0.8850045998160073,0.0,0.0,1,0.0,0.0
TraceLog,117798,node_type_swap,0,841,962,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,117798,edge_type_swap,0,841,962,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,102073,edge_perturbation,1,27,29,0,0.7575757575757576,0.0,0.0,1,0.0,0.0
TraceLog,102073,edge_addition,1,27,29,4,0.90625,0.0,0.0,1,0.030303030303030276,0.0
TraceLog,102073,node_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,102073,edge_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,1260,edge_perturbation,1,27,29,0,0.7575757575757576,0.0,0.0,1,0.0,0.0
TraceLog,1260,edge_addition,1,27,29,4,0.8787878787878788,0.0,0.0,1,0.0,0.0
TraceLog,1260,node_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,1260,edge_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,13379,edge_perturbation,1,44,49,0,0.8148148148148148,0.0,0.0,1,0.0,0.0
TraceLog,13379,edge_addition,1,44,49,6,0.8909090909090909,0.0,0.0,1,0.0,0.0181818176060915
TraceLog,13379,node_type_swap,0,44,49,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,13379,edge_type_swap,0,44,49,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,77511,edge_perturbation,1,26,28,0,0.8064516129032258,0.0,0.0,1,0.0,0.0
TraceLog,77511,edge_addition,1,26,28,4,0.9032258064516129,0.0,0.0,1,0.03125,0.0
TraceLog,77511,node_type_swap,1,26,28,0,1.0,0.07692307978868484,0.0,1,0.0,0.0
TraceLog,77511,edge_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,3860,edge_perturbation,1,403,458,0,0.7683397683397684,0.0,0.0,1,0.0,0.0
TraceLog,3860,edge_addition,1,403,458,60,0.8841698841698842,0.0,0.0,1,0.0,0.0
TraceLog,3860,node_type_swap,0,403,458,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,3860,edge_type_swap,0,403,458,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,93937,edge_perturbation,1,4,3,0,0.5,0.0,0.0,1,0.0,0.3333333432674408
TraceLog,93937,edge_addition,1,4,3,1,0.75,0.0,0.0,1,0.0,0.0
TraceLog,93937,node_type_swap,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,93937,edge_type_swap,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,105173,edge_perturbation,1,44,49,0,0.8148148148148148,0.0,0.0,1,0.0,0.0
TraceLog,105173,edge_addition,1,44,49,6,0.9074074074074074,0.0,0.0,1,0.018181818181818188,0.0
TraceLog,105173,node_type_swap,0,44,49,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,105173,edge_type_swap,0,44,49,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,118122,edge_perturbation,1,173,194,0,0.7798165137614679,0.0,0.0,1,0.0,0.0
TraceLog,118122,edge_addition,1,173,194,25,0.8858447488584474,0.0,0.0,1,0.0,0.0
TraceLog,118122,node_type_swap,0,173,194,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,118122,edge_type_swap,0,173,194,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,79875,edge_perturbation,1,8,8,0,0.7777777777777778,0.0,0.0,1,0.0,0.0
TraceLog,79875,edge_addition,1,8,8,1,0.8888888888888888,0.0,0.0,1,0.0,0.0
TraceLog,79875,node_type_swap,0,8,8,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,79875,edge_type_swap,0,8,8,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,131741,edge_perturbation,1,27,29,0,0.7575757575757576,0.0,0.0,1,0.0,0.0
TraceLog,131741,edge_addition,1,27,29,4,0.9354838709677419,0.0,0.0,1,0.06060606060606055,0.0
TraceLog,131741,node_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,131741,edge_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,31907,edge_perturbation,1,11,11,0,0.8333333333333334,0.0,0.0,1,0.0,0.0
TraceLog,31907,edge_addition,1,11,11,1,1.0,0.0,0.0,1,0.08333333333333337,0.0
