dataset,variant,auc_best,auc_seed,ap_best,ap_seed,source,delta_auc_pct,delta_ap_pct
TraceLog,no_ssl,0.8158152200791807,22,0.7290612025792533,22,ssl_augmentation_suite,0.0,0.0
TraceLog,edge_perturbation,0.8083961284343899,11,0.7342979013212207,11,ssl_augmentation_suite,-0.7419091644790821,0.5236698741967416
TraceLog,edge_addition,0.8097427935869562,11,0.7308808049357423,22,ssl_augmentation_suite,-0.6072426492224503,0.18196023564889252
TraceLog,node_type_swap,0.802748920996289,11,0.7284047820295476,11,ssl_augmentation_suite,-1.3066299082891697,-0.06564205497057163
TraceLog,edge_type_swap,0.8130682884117999,11,0.7556288251401497,11,ssl_augmentation_suite,-0.27469316673808253,2.65676225608964
TraceLog,topology_only,0.8079208998618798,11,0.7377337391628693,22,ssl_augmentation_suite,-0.7894320217300965,0.8672536583615997
TraceLog,type_only,0.8200908957533629,11,0.761442735609464,11,ssl_augmentation_suite,0.4275675674182189,3.238153303021063
TraceLog,full,0.8208283289277987,11,0.7425666103812295,11,ssl_augmentation_suite,0.5013108848617942,1.3505407801976177
TraceLog,all_four_diagnostic,0.8375594139326518,22,0.7777591369711399,22,final_main_table,2.174419385347104,4.869793439188652
FlowGraph,no_ssl,0.9996,33,0.999494846398168,33,ssl_augmentation_suite,0.0,0.0
FlowGraph,edge_perturbation,0.9996,11,0.999494846398168,11,ssl_augmentation_suite,0.0,0.0
FlowGraph,edge_addition,1.0,22,1.0,22,ssl_augmentation_suite,0.039999999999995595,0.05051536018320091
FlowGraph,node_type_swap,0.9708,11,0.9786535106520666,11,ssl_augmentation_suite,-2.880000000000005,-2.0841335746101364
FlowGraph,edge_type_swap,0.96288,11,0.9756844797501694,11,ssl_augmentation_suite,-3.6720000000000086,-2.3810366647998626
FlowGraph,topology_only,0.99992,22,0.99990099009901,22,ssl_augmentation_suite,0.031999999999998696,0.0406143700842021
FlowGraph,type_only,0.3958399999999999,22,0.3648726942371632,22,ssl_augmentation_suite,-60.376000000000005,-63.46221521610048
FlowGraph,full,0.9828,22,0.9848140342752372,22,ssl_augmentation_suite,-1.6800000000000037,-1.468081212293082
FlowGraph,all_four_diagnostic,1.0,10,1.0,10,final_main_table,0.039999999999995595,0.05051536018320091
ADFA-LD,no_ssl,0.826944,22,0.8259794783461807,33,ssl_augmentation_suite,0.0,0.0
ADFA-LD,edge_perturbation,0.8442940000000001,22,0.8383084221392993,22,ssl_augmentation_suite,1.7350000000000088,1.2328943793118663
ADFA-LD,edge_addition,0.851478,22,0.8357815675499336,22,ssl_augmentation_suite,2.4533999999999945,0.9802089203752917
ADFA-LD,node_type_swap,0.8301580000000001,22,0.8244709575651443,22,ssl_augmentation_suite,0.321400000000005,-0.150852078103636
ADFA-LD,edge_type_swap,0.8315779999999998,22,0.824995533088033,22,ssl_augmentation_suite,0.4633999999999805,-0.09839452581477115
ADFA-LD,topology_only,0.8583639999999999,33,0.8444269795032059,33,ssl_augmentation_suite,3.1419999999999892,1.8447501157025203
ADFA-LD,type_only,0.8325579999999999,22,0.825926990876005,22,ssl_augmentation_suite,0.5613999999999897,-0.005248747017572164
ADFA-LD,full,0.8474440000000001,33,0.8420865047304227,11,ssl_augmentation_suite,2.0500000000000074,1.6107026384241996
ADFA-LD,all_four_diagnostic,0.864958,9,0.8525903905138927,9,final_main_table,3.8013999999999992,2.6610912167712053
