dataset,variant,auc_mean,auc_std,ap_mean,ap_std,svdd_auc_mean,svdd_auc_std,svdd_ap_mean,svdd_ap_std
ADFA-LD,all_four_diagnostic,0.8374586666666667,0.012353358139928302,0.8267757797198043,0.0022069183322604912,,,,
ADFA-LD,edge_addition,0.8376246666666667,0.012851840231396138,0.8323957194949964,0.0049998134986239,,,,
ADFA-LD,edge_perturbation,0.8365826666666667,0.008235366253745725,0.8344562895909186,0.005780122180351664,,,,
ADFA-LD,edge_type_swap,0.8241366666666665,0.0064508158657128395,0.823748929998549,0.0011585913080605856,,,,
ADFA-LD,full,0.8448206666666667,0.004469475286130757,0.8370058492986701,0.005056725767004,,,,
ADFA-LD,no_ssl,0.8255886666666666,0.0011738489397419758,0.8245160521342793,0.0016506210286428838,,,,
ADFA-LD,node_type_swap,0.8244253333333335,0.004985441337869046,0.8241149004628711,0.00042738345082634965,,,,
ADFA-LD,topology_only,0.8413953333333333,0.01722863271804623,0.8314400419725129,0.01662293203122281,,,,
ADFA-LD,type_only,0.8261993333333333,0.005763790882165388,0.8248852141255254,0.0012826689065718777,,,,
