prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,suite,variant,sweep,sweep_parameter,sweep_value
0.2544338335607094,0.7953930569625376,0.5039617068657221,0.01,30.0,0.5333333333333333,0.021447721179624665,0.01,0.0388739946380697,0.00366774042136967,0.5954738330975955,0.564343163538874,0.5794907088781831,0.4413869530536704,0.13083257090576395,0.7953930569625376,0.5039617068657221,0.004765767845559273,0.33243845185913773,0.20387571278064795,2932,0.004455844269453016,ADFA-LD,ssl_augmentation_adfa_ld/no_ssl,11,10,216.09862066432834,1699.92578125,3492.162109375,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,no_ssl,,,
0.2544338335607094,0.7918060703134007,0.4829257110871048,0.01,30.0,0.5666666666666667,0.022788203753351208,0.01,0.04155495978552279,0.0035654586181044575,0.5712143928035982,0.5107238605898123,0.5392781316348195,0.3946906227885047,0.13083257090576395,0.7918060703134007,0.4829257110871048,0.0035171792461179637,0.5675695812249042,0.34574199149536483,2932,0.005242606437552878,ADFA-LD,ssl_augmentation_adfa_ld/no_ssl,22,10,234.2140769083053,1703.6328125,3492.162109375,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,no_ssl,,,
0.2544338335607094,0.7820608969091635,0.5002743180526623,0.01,30.0,0.5666666666666667,0.022788203753351208,0.01,0.040214477211796246,0.0038441009633243066,0.6025641025641025,0.5040214477211796,0.5489051094890511,0.41560967761919976,0.11344922232387923,0.7820608969091635,0.5002743180526623,0.0044450635027597305,0.4018602415076198,0.25637543127792617,2932,0.004322080227507006,ADFA-LD,ssl_augmentation_adfa_ld/no_ssl,33,10,217.0717151146382,1703.8984375,3492.162109375,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,no_ssl,,,
0.2544338335607094,0.7944554550159557,0.4992523022677743,0.01,30.0,0.5333333333333333,0.021447721179624665,0.01,0.040214477211796246,0.011617912761867036,0.5675213675213675,0.4450402144772118,0.4988730277986476,0.3588860996169912,0.11573650503202196,0.7944554550159557,0.4992523022677743,0.009045137266220594,0.5051138858296398,0.30953855133816394,2932,0.004214410427424137,ADFA-LD,ssl_augmentation_adfa_ld/edge_perturbation,11,10,317.19453175365925,1709.39453125,5905.25830078125,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,edge_perturbation,,,
0.2544338335607094,0.8148518233261137,0.49568135608994585,0.01,30.0,0.1,0.004021447721179625,0.01,0.004021447721179625,0.006366600543260563,0.6073717948717948,0.5080428954423593,0.5532846715328467,0.4213492631364615,0.11207685269899359,0.8148518233261137,0.49568135608994585,0.005116256276829458,0.6733370902820531,0.4012783404421184,2932,0.00497929715280806,ADFA-LD,ssl_augmentation_adfa_ld/edge_perturbation,22,10,325.7479847576469,1709.8515625,5905.25830078125,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,edge_perturbation,,,
0.2544338335607094,0.7902457510504332,0.5052753440746899,0.01,30.0,0.6,0.024128686327077747,0.01,0.0388739946380697,0.005183414854109287,0.6160714285714286,0.4624664879356568,0.5283307810107197,0.40344070771123824,0.09835315645013723,0.7902457510504332,0.5052753440746899,0.004563752016408599,0.6225364186916988,0.3713670205012226,2932,0.004094629971587479,ADFA-LD,ssl_augmentation_adfa_ld/edge_perturbation,33,10,306.5288355704397,1709.91796875,5905.25830078125,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,edge_perturbation,,,
0.2544338335607094,0.8132767869626113,0.5141231206938982,0.01,30.0,0.5,0.020107238605898123,0.01,0.0388739946380697,0.008506791107356521,0.6086956521739131,0.4879356568364611,0.5416666666666666,0.4117124379243921,0.1070448307410796,0.8132767869626113,0.5141231206938982,0.007977260463249439,0.7340932671717901,0.472425184889369,2932,0.0037130497403615654,ADFA-LD,ssl_augmentation_adfa_ld/edge_addition,11,9,267.1979986280203,1710.51171875,6250.02978515625,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,edge_addition,,,
0.2544338335607094,0.8132231308669108,0.4943345320584528,0.01,30.0,0.1,0.004021447721179625,0.01,0.0013404825737265416,0.012339044362306546,0.572961373390558,0.3579088471849866,0.4405940594059406,0.3179163641259761,0.09103385178408051,0.8132231308669108,0.4943345320584528,0.00822715644016646,0.4566492473429502,0.25194544595450735,2932,0.004053541399426708,ADFA-LD,ssl_augmentation_adfa_ld/edge_addition,22,7,204.2699823267758,1710.51171875,6250.02978515625,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,edge_addition,,,
0.2544338335607094,0.7937131612577233,0.5071417898055962,0.01,30.0,0.5666666666666667,0.022788203753351208,0.01,0.0388739946380697,0.007922565974295085,0.62756052141527,0.4517426273458445,0.5253312548713952,0.40565811702705507,0.09149130832570906,0.7937131612577233,0.5071417898055962,0.006915426322767711,0.6895602407717647,0.4594348262753535,2932,0.003733209357184001,ADFA-LD,ssl_augmentation_adfa_ld/edge_addition,33,9,274.1323832664639,1710.53125,6250.02978515625,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,edge_addition,,,
0.2544338335607094,0.783857302993213,0.5029302320866854,0.01,30.0,0.5666666666666667,0.022788203753351208,0.01,0.0388739946380697,0.0036726082582026697,0.5943262411347517,0.561662198391421,0.5775327360441075,0.4390817504894286,0.13083257090576395,0.783857302993213,0.5029302320866854,0.004693466809755801,0.5425308875147478,0.40742275358566205,2932,0.0037800580565531777,ADFA-LD,ssl_augmentation_adfa_ld/node_type_swap,11,10,294.54867570474744,1711.12109375,6250.02978515625,446081,cuda,normal_train_scores,negative_mean_svdd_loss,test,,,seeded_stratified,expert_ssl_augmentation_independent_effects,ssl_augmentation_adfa_ld,node_type_swap,,,
