dataset,variant,auc_mean,auc_std,ap_mean,ap_std,svdd_auc_mean,svdd_auc_std,svdd_ap_mean,svdd_ap_std,ssl_auc_mean,ssl_auc_std,ssl_ap_mean,ssl_ap_std,precision_at_budget_mean,precision_at_budget_std,recall_at_budget_mean,recall_at_budget_std,tpr_at_fpr_mean,tpr_at_fpr_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,observed_fpr_mean,observed_fpr_std,training_seconds_mean,training_seconds_std,mean_inference_seconds_mean,mean_inference_seconds_std,peak_gpu_memory_mb_mean,peak_gpu_memory_mb_std,peak_process_memory_mb_mean,peak_process_memory_mb_std,parameters_mean,parameters_std
ADFA-LD,all_four_diagnostic,0.7975625006643136,0.011610832997728193,0.49389927129929173,0.009365111288455146,0.7975625006643136,0.011610832997728193,0.49389927129929173,0.009365111288455146,0.5180891561950408,0.13232214942679593,0.3199015755634893,0.11530332246543624,0.4888888888888889,0.10715167512214399,0.019660411081322608,0.004309048597405254,0.034405719392314564,0.014704631520915402,0.5713623540886034,0.018890022888911902,0.37890974084003576,0.05625769699923913,0.45462697102902655,0.04561602875406734,0.32799719786836107,0.04155460963216634,0.09652333028362305,0.008093232393849105,308.0096331207703,20.407184002459445,0.0037403233087163804,0.00010619241458913605,6250.02978515625,0.0,1711.90234375,0.0067658234670659265,446081.0,0.0
ADFA-LD,edge_addition,0.8067376930290818,0.011279607291102696,0.5051998141859824,0.010036210042944534,0.8067376930290818,0.011279607291102696,0.5051998141859824,0.010036210042944534,0.6267675850955017,0.14899994711359707,0.3946018190397433,0.1237146634017395,0.38888888888888884,0.2523959264800122,0.015638963360142987,0.01014997023378065,0.026362823949955316,0.02166998329398059,0.6030725156599136,0.027730515491916283,0.4325290437890974,0.06710897221574977,0.5025306603146674,0.05425696562401416,0.37842897302580775,0.05249281452999039,0.09652333028362305,0.009114757019748974,248.53345474041998,38.48977351405891,0.0038332668323240913,0.00019102949045053398,6250.02978515625,0.0,1710.5182291666667,0.01127637244507706,446081.0,0.0
ADFA-LD,edge_perturbation,0.7998510097975009,0.013160497967763047,0.50006966747747,0.004848939654952275,0.7998510097975009,0.013160497967763047,0.50006966747747,0.004848939654952275,0.6003291316011307,0.08628229441201594,0.3607279707605016,0.04678610114925864,0.41111111111111115,0.27148426050823593,0.01653261840929401,0.010917597607569808,0.02770330652368186,0.0205200402202056,0.5969881969881969,0.02588709013673332,0.47184986595174266,0.032532603483945294,0.5268294934474046,0.027236870997329594,0.394558690154897,0.03216487799010573,0.10872217139371759,0.009164366697966895,316.4904506939153,9.62890032527338,0.004429445850606559,0.0004799366419639416,5905.25830078125,0.0,1709.7213541666667,0.28497782659995613,446081.0,0.0
ADFA-LD,edge_type_swap,0.7843738323411554,0.014005617541494214,0.4939956335660483,0.007964730066730043,0.7843738323411554,0.014005617541494214,0.4939956335660483,0.007964730066730043,0.4211197138014516,0.06236582263462029,0.2532946777364213,0.03334123139204463,0.5555555555555555,0.01924500897298748,0.022341376228775692,0.0007739279747850219,0.040214477211796246,0.0013404825737265424,0.5942952619644349,0.014845469929519505,0.5196604110813227,0.04510745438390436,0.5536913782830841,0.02596469544182479,0.41724146542531365,0.025281009685950456,0.12122598353156451,0.013075577244241954,326.91676829755306,4.193471760477854,0.004520370414893077,0.0005218312116620456,6250.02978515625,0.0,1711.4622395833333,0.053321862576707804,446081.0,0.0
ADFA-LD,full,0.8171342003340781,0.0028521922979235156,0.5069508634983393,0.012817955206297943,0.8171342003340781,0.0028521922979235156,0.5069508634983393,0.012817955206297943,0.425174479403009,0.09396752934461111,0.26274970221644006,0.05777330845301485,0.39999999999999997,0.23333333333333334,0.0160857908847185,0.009383378016085792,0.028150134048257374,0.02089605531919557,0.602382006742942,0.015181290346948206,0.42269883824843607,0.07403461509609525,0.49494067239965195,0.05545926930048761,0.3724995881128857,0.049645348907490276,0.09469350411710888,0.011270526070224078,326.8977195887516,11.112007306880802,0.0046274710595675525,0.0007848786975953566,6250.02978515625,0.0,1711.7747395833333,0.05863713671458778,446081.0,0.0
ADFA-LD,no_ssl,0.7897533413950338,0.006899050291990973,0.4957205786684964,0.011233017688211775,0.7897533413950338,0.006899050291990973,0.4957205786684964,0.011233017688211775,0.43395609153055387,0.12080674522031547,0.26866437851797964,0.07172707945603284,0.5555555555555555,0.01924500897298748,0.022341376228775692,0.0007739279747850219,0.040214477211796246,0.0013404825737265424,0.5897507761550987,0.016439772233588282,0.5263628239499553,0.03306221757584619,0.5558913166673513,0.020996860722307237,0.4172290844871249,0.0233902474123569,0.12503812137846904,0.010036280983168236,222.4614708957573,10.189678074745085,0.0046735103115043,0.0004973690835205358,3492.162109375,0.0,1702.4856770833333,2.220909536269848,446081.0,0.0
ADFA-LD,node_type_swap,0.7850177054895603,0.012022712962973327,0.49468722421404027,0.00973630439808556,0.7850177054895603,0.012022712962973327,0.49468722421404027,0.00973630439808556,0.5124898104519212,0.03452408654540851,0.334826266669493,0.06354975394661855,0.5666666666666667,0.0,0.022788203753351208,0.0,0.039767649687220734,0.0015478559495700438,0.591784641770619,0.01400082619760692,0.5169794459338696,0.03981782337571804,0.5512446669097287,0.022766922939697055,0.413940293604671,0.02250906118967793,0.12183592558706922,0.011843914137927049,313.68921226325136,16.59804228824646,0.004226597938254618,0.0003883099677504718,6250.02978515625,0.0,1711.2330729166667,0.10771149405014761,446081.0,0.0
ADFA-LD,topology_only,0.8009443677247444,0.01887958746822728,0.4988608272623671,0.02545238945548774,0.8009443677247444,0.01887958746822728,0.4988608272623671,0.02545238945548774,0.6573819136645825,0.07561597304485214,0.38371558942684797,0.08399120781289043,0.3111111111111111,0.16777409856157222,0.012511170688114387,0.006746947663334003,0.019660411081322608,0.016104397936496963,0.5910274718661553,0.037071348127633096,0.37935656836461124,0.10925549744921714,0.4579095644145797,0.08678893920313177,0.34154846578833853,0.07901299562124714,0.08828911253430925,0.01673940939023969,261.9168085393806,57.71633750486753,0.003945533631106042,0.00036360532811452895,6250.02978515625,0.0,1711.55859375,0.060892411203593344,446081.0,0.0
ADFA-LD,type_only,0.7900727229170602,0.009597280486245374,0.4961851313507793,0.008961798196809437,0.7900727229170602,0.009597280486245374,0.4961851313507793,0.008961798196809437,0.5121307745201203,0.03836686758606704,0.34190020670586946,0.060074485803042275,0.5666666666666667,0.0,0.022788203753351208,0.0,0.040214477211796246,0.0013404825737265424,0.5941157598552368,0.014196241244179246,0.5160857908847185,0.04283256114925062,0.5516536138245364,0.02445391730637545,0.4152761226751937,0.023915690513532102,0.1204635559621836,0.012379532476239588,315.3510436285287,16.508034469824857,0.004250716161797702,0.0006838324396232077,6250.02978515625,0.0,1711.70703125,0.0,446081.0,0.0
