prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,search,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,model.attention_temperature,model.prototype_momentum
0.34575,0.8222824731005433,0.759828806391821,0.01,40.0,0.95,0.0274765003615329,0.01,0.2762111352133044,0.0014298501203302,0.9385749385749386,0.2762111352133044,0.4268156424581005,0.4195097906065522,0.0095529231944975,0.8257423857745301,0.7603500118346733,0.001004586334966,0.6603172537535459,0.6144063849762409,4000,0.0003437679070048,TraceLog,trial_0000_407299c6,11,4,41.70401816815138,3692.9921875,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,0,trial_0000_407299c6,0.003,1.0,0.001,1.0,0.9
0.34575,0.8090665599060153,0.7303803634492174,0.01,40.0,1.0,0.0289226319595083,0.01,0.269703543022415,0.0009609159902902,0.927860696517413,0.269703543022415,0.4179271708683473,0.4091052630934528,0.0110813909056171,0.8239256035195649,0.7558846785842186,0.0006873238822081,0.6375433058944091,0.5395977340182928,4000,0.0003393462928943,TraceLog,trial_0000_407299c6,22,4,42.414479902014136,3710.484375,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,0,trial_0000_407299c6,0.003,1.0,0.001,1.0,0.9
0.34575,0.7880443266688053,0.7075355855734302,0.01,40.0,1.0,0.0289226319595083,0.01,0.2552422270426608,0.0007975825574249,0.9405099150141644,0.240057845263919,0.3824884792626728,0.3890524922397111,0.0080244554833779,0.7903240423384451,0.7035451594538558,0.0004779700582585,0.4219656724719152,0.3030982549862983,4000,0.0003430594601668,TraceLog,trial_0000_407299c6,33,6,66.5081635452807,3727.01171875,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,0,trial_0000_407299c6,0.003,1.0,0.001,1.0,0.9
0.34575,0.7222606733712578,0.6715123740533309,0.01,40.0,1.0,0.0289226319595083,0.01,0.28705712219812,0.0007285646285163,0.9195402298850576,0.2892263195950831,0.44004400440044,0.4214199104058743,0.0133740924722965,0.7275539460411112,0.678051111953538,0.0004741886469455,0.60000784679736,0.5612295306930057,4000,0.0003697315654717,TraceLog,trial_0000_407299c6,44,4,43.07133416458964,3713.34765625,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,0,trial_0000_407299c6,0.003,1.0,0.001,1.0,0.9
0.34575,0.707008046559138,0.642463213102858,0.01,40.0,0.775,0.0224150397686189,0.01,0.2595806218365871,0.0011924973223358,0.9252577319587628,0.2595806218365871,0.4054206662902315,0.3993450142824241,0.0110813909056171,0.6986302088988761,0.638945826461256,0.0006330255427892,0.5450690753019014,0.3670909414555963,4000,0.0005160630051977,TraceLog,trial_0000_407299c6,55,4,45.86089254915714,3713.55078125,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,0,trial_0000_407299c6,0.003,1.0,0.001,1.0,0.9
0.34575,0.7947924342506074,0.7303716804087546,0.01,40.0,0.95,0.0274765003615329,0.01,0.2740419378163413,0.0007855273218592,0.9212410501193318,0.2791033984092552,0.4284128745837958,0.4138952715365269,0.0126098586167367,0.7891510290218221,0.7211457780915226,0.000517245041341,0.5232077320793931,0.5140983626294224,4000,0.0005307983136735,TraceLog,trial_0001_ee06112b,11,6,76.90139799751341,3713.69140625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,1,trial_0001_ee06112b,0.003,1.0,0.001,2.0,0.7
0.34575,0.8199548201301298,0.767933504102562,0.01,40.0,1.0,0.0289226319595083,0.01,0.2877801879971077,0.000618566435296,0.9407582938388626,0.28705712219812,0.4398891966759002,0.4296413937251456,0.0095529231944975,0.8168994043341398,0.7634895731050959,0.0004571629648071,0.8284679045265797,0.7719376408535538,4000,0.0008756293435581,TraceLog,trial_0001_ee06112b,22,8,101.7129652891308,3728.84765625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,1,trial_0001_ee06112b,0.003,1.0,0.001,2.0,0.7
0.34575,0.8258766654758323,0.7846593862720883,0.01,40.0,1.0,0.0289226319595083,0.01,0.3275488069414317,0.0007116202043835,0.9536842105263158,0.3275488069414317,0.4876210979547901,0.4692138980785729,0.0084065724111578,0.823699593651941,0.7768678576051247,0.0005368480330143,0.5848498512562197,0.57502885085641,4000,0.0008218774180859,TraceLog,trial_0001_ee06112b,33,6,79.84037589654326,3728.90234375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,1,trial_0001_ee06112b,0.003,1.0,0.001,2.0,0.7
0.34575,0.7625868570012359,0.6948111186514715,0.01,40.0,1.0,0.0289226319595083,0.01,0.2552422270426608,0.0006600801722379,0.9081885856079404,0.2646420824295011,0.4098544232922732,0.3958261220542577,0.0141383263278563,0.7624389006636899,0.7019716608231905,0.0003968236299333,0.6617650431256116,0.480066693813351,4000,0.0005188303114846,TraceLog,trial_0001_ee06112b,44,4,51.92999839410186,3728.94140625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,1,trial_0001_ee06112b,0.003,1.0,0.001,2.0,0.7
0.34575,0.7294099622828765,0.6778329325509829,0.01,40.0,1.0,0.0289226319595083,0.01,0.3138105567606652,0.0003886234623496,0.9446902654867256,0.3087490961677512,0.4653950953678474,0.4494775061033777,0.0095529231944975,0.7291553558121974,0.6768035884663514,0.0004287463685031,0.5749188174213269,0.5569433183353755,4000,0.00086952793831,TraceLog,trial_0001_ee06112b,55,7,102.42580942437051,3728.953125,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_five_seed_confirmation,tracelog_candidate_confirmation,1,trial_0001_ee06112b,0.003,1.0,0.001,2.0,0.7
