prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,score_direction,inverse_auc_diagnostic,test_normal_score_median,test_anomaly_score_median,normal_calibration_score_median,normal_calibration_score_q95,dataset,variant,experimental_stage,seed,epochs_completed,training_seconds,parameters,peak_gpu_memory_mb,device,checkpoint_selection,threshold_source,scoring_protocol,reference_graphs,normal_calibration_graphs,subset_sampling,official_source,train_graphs,numerically_stabilized,matrix,status,error
0.5,0.6572880000000001,0.6872528449409372,0.01,10.0,1.0,0.02,0.01,0.096,3.5337780237197873,0.9375,0.09,0.16423357664233576,0.19647631199834392,0.006,higher_is_more_anomalous,0.342712,2.3368853330612183,2.967144250869751,2.282733678817749,3.282488238811493,TraceLog,GLADMamba-fair,recent_sota_stability_tuning,55,60.0,235.68143731541932,79712.0,2621.59814453125,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,872.0,seeded_stratified_random,external/GLADMamba,872.0,True,recent_sota_tuning_stable,complete,
0.5,0.57326,0.6171574909274757,0.01,10.0,1.0,0.02,0.01,0.046,4.064412531852722,0.71875,0.046,0.08646616541353383,0.07954545454545454,0.018,higher_is_more_anomalous,0.42674,3.0290310382843018,3.4015769958496094,3.0296168327331543,3.8830144524574277,TraceLog,GLADMamba-fair,recent_sota_stability_tuning,66,60.0,229.79263415932655,79712.0,2748.66162109375,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,872.0,seeded_stratified_random,external/GLADMamba,872.0,True,recent_sota_tuning_stable,complete,
0.5,0.7452256944444444,0.6032529066903219,0.01,1.0,0.0,0.0,0.01,0.0,7.128398151397702,0.0,0.0,0.0,0.0,0.0,higher_is_more_anomalous,0.2547743055555556,4.466376304626465,5.408041477203369,4.469316720962524,6.344472479820248,FlowGraph,GLADMamba-fair,recent_sota_stability_tuning,44,60.0,1385.7858079634607,81536.0,7283.96435546875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,32.0,64.0,seeded_stratified_random,external/GLADMamba,64.0,True,recent_sota_tuning_stable,complete,
0.5,0.7317708333333333,0.5962863066524122,0.01,1.0,0.0,0.0,0.01,0.0,3.290032217502594,0.0,0.0,0.0,-0.1796053020267749,0.0625,higher_is_more_anomalous,0.2682291666666667,1.369188129901886,2.1735697984695435,0.975801944732666,3.28058660030365,FlowGraph,GLADMamba-fair,recent_sota_stability_tuning,55,60.0,1397.6368629392236,81536.0,7296.859375,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,32.0,64.0,seeded_stratified_random,external/GLADMamba,64.0,True,recent_sota_tuning_stable,complete,
0.5,0.5833333333333333,0.49736723642271363,0.01,1.0,0.0,0.0,0.01,0.0,11.170687437057495,0.0,0.0,0.0,-0.10259783520851541,0.020833333333333332,higher_is_more_anomalous,0.41666666666666663,2.8828083276748657,3.79724657535553,2.8498382568359375,11.15798053741455,FlowGraph,GLADMamba-fair,recent_sota_stability_tuning,66,60.0,1269.498170107603,81536.0,7369.0322265625,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,32.0,64.0,seeded_stratified_random,external/GLADMamba,64.0,True,recent_sota_tuning_stable,complete,
0.5,0.562052,0.5851092706444914,0.01,10.0,0.8,0.016,0.01,0.032,6.6343194580078135,0.7076923076923077,0.092,0.16283185840707964,0.10952197843250294,0.038,higher_is_more_anomalous,0.437948,3.4621479511260986,3.8031976222991943,3.107077121734619,5.789360904693603,ADFA-LD,GLADMamba-fair,recent_sota_stability_tuning,44,60.0,527.809015346691,79808.0,8217.88671875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,705.0,seeded_stratified_random,external/GLADMamba,705.0,True,recent_sota_tuning_stable,complete,
0.5,0.520516,0.509805237135693,0.01,10.0,0.7,0.014,0.01,0.014,5.303305702209475,0.5217391304347826,0.048,0.08791208791208792,0.00954721916877008,0.044,higher_is_more_anomalous,0.479484,2.2483301162719727,2.68705153465271,2.147564649581909,4.759302711486816,ADFA-LD,GLADMamba-fair,recent_sota_stability_tuning,55,60.0,523.9036897365004,79808.0,8565.95849609375,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,705.0,seeded_stratified_random,external/GLADMamba,705.0,True,recent_sota_tuning_stable,complete,
0.5,0.432904,0.4662888790671694,0.01,10.0,0.7,0.014,0.01,0.024,5.209091224670412,0.6363636363636364,0.042,0.07879924953095685,0.050381640245035705,0.024,higher_is_more_anomalous,0.567096,2.347352623939514,2.057393789291382,1.8896167278289795,4.295188617706299,ADFA-LD,GLADMamba-fair,recent_sota_stability_tuning,66,60.0,397.60235514864326,79808.0,7867.71484375,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,705.0,seeded_stratified_random,external/GLADMamba,705.0,True,recent_sota_tuning_stable,complete,
0.5,0.4929395555555556,0.5071073896592333,0.01,15.0,0.8666666666666667,0.017333333333333333,0.01,0.032,0.00031119078339543195,0.8571428571428571,0.032,0.061696658097686374,0.09851380077988758,0.005333333333333333,higher_is_more_anomalous,0.5070604444444444,0.0003019329014932737,0.0003014526009792462,0.0003019927826244384,0.00030836823862046003,TraceLog,DHAGNN-fair,recent_sota_stability_tuning,44,60.0,28.481290010735393,55297.0,75.759765625,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,,,seeded_stratified_random,,1500.0,,recent_sota_tuning_stable,complete,
0.5,0.31442488888888886,0.45511066023130087,0.01,15.0,0.8666666666666667,0.017333333333333333,0.01,0.050666666666666665,0.00010945674883259926,0.8125,0.017333333333333333,0.033942558746736295,0.06489676645639562,0.004,higher_is_more_anomalous,0.6855751111111111,0.00010393762204330415,0.00010246042074868456,0.00010393759293947369,0.00010559309666859917,TraceLog,DHAGNN-fair,recent_sota_stability_tuning,55,60.0,26.18738003075123,55297.0,70.888671875,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,,,seeded_stratified_random,,1500.0,,recent_sota_tuning_stable,complete,
