rank,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,model.attention_temperature,model.prototype_momentum,selection_score_mean,selection_score_std,auc_mean,auc_std,ap_mean,ap_std,mean_svdd_loss_mean,mean_svdd_loss_std,epochs_completed_mean,training_seconds_mean
1,0,trial_0000_405e165c,0.001,0.0,0.01,1.0,0.9,0.7754100303462629,0.021466863767879485,0.8064411707090106,0.018869181179824196,0.7443788899835151,0.024573724790705624,0.0025174761904694,0.0008169987469032038,4.8,51.20022612586617
2,4,trial_0004_29ecf918,0.001,0.5,0.01,1.0,0.9,0.761133202783945,0.03475375444207819,0.8005309574115073,0.0321399776833943,0.7217354481563829,0.03836861803898786,0.0013835855742188401,0.0007051986361538674,4.6,57.24489175491035
3,2,trial_0002_f8114737,0.001,0.1,0.01,1.0,0.9,0.759730354803927,0.03549362657322287,0.7930981062417681,0.0321882930831298,0.7263626033660858,0.043112855798579125,0.00138471663891466,0.0009980325867315416,4.6,66.32244176566601
4,3,trial_0003_4a1a1fd3,0.001,0.25,0.01,1.0,0.9,0.7589129490340882,0.02733382145484378,0.7977066629532527,0.023542725831172857,0.7201192351149237,0.031873910906238784,0.00131102545968892,0.0010677312712873632,5.0,68.8534584376961
5,1,trial_0001_9087c5b9,0.001,0.05,0.01,1.0,0.9,0.7477421638460754,0.028300578727431757,0.7803108934269534,0.03428401931084406,0.7151734342651974,0.02312180586446213,0.00133380328941054,0.0008169952245640392,5.4,67.19801628105343
