prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,search,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,model.attention_temperature,model.prototype_momentum
0.34575,0.8152170399283178,0.7621028053020867,0.01,40.0,1.0,0.0289226319595083,0.01,0.3528561099060014,0.0016596363857388,0.9549902152641878,0.3528561099060014,0.515311510031679,0.4902251275600077,0.0087886893389377,0.8124087706196013,0.7588224794629984,0.001956799963671,0.6460069333638364,0.6169640159496423,4000,0.0003453628965653,TraceLog,trial_0000_405e165c,11,5,52.62853434868157,3894.67578125,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,0,trial_0000_405e165c,0.001,0.0,0.01,1.0,0.9
0.34575,0.8342673508852927,0.7778633838644332,0.01,40.0,1.0,0.0289226319595083,0.01,0.3897324656543745,0.002457404511515,0.9590017825311944,0.3890093998553868,0.5534979423868313,0.5207762882479072,0.0087886893389377,0.8339621823048642,0.7772375902903748,0.0028284933268587,0.7712648899196559,0.7193467845396093,4000,0.0003402898255735,TraceLog,trial_0000_405e165c,22,4,42.4644319228828,3895.97265625,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,0,trial_0000_405e165c,0.001,0.0,0.01,1.0,0.9
0.34575,0.801003837470723,0.7252328522812055,0.01,40.0,1.0,0.0289226319595083,0.01,0.363702096890817,0.0013986254471819,0.936685288640596,0.363702096890817,0.5239583333333333,0.4892691831380038,0.0129919755445166,0.8057453476642378,0.7387306067421108,0.0020373171067949,0.6322931353508996,0.6274932759968574,4000,0.0003452052753418,TraceLog,trial_0000_405e165c,33,5,53.970266718417406,3880.66015625,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,0,trial_0000_405e165c,0.001,0.0,0.01,1.0,0.9
0.34575,0.796229448091087,0.7354030108535761,0.01,40.0,1.0,0.0289226319595083,0.01,0.3499638467100506,0.0029292914597317,0.9392789373814042,0.3579175704989154,0.518324607329843,0.4861181692431767,0.0122277416889568,0.7935656814238954,0.733462433956295,0.0038209981609979,0.6257798790985356,0.6275774725369493,4000,0.0003409305685199,TraceLog,trial_0000_405e165c,44,4,42.27715542726219,3881.17578125,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,0,trial_0000_405e165c,0.001,0.0,0.01,1.0,0.9
0.34575,0.7854881771696325,0.7212923976162741,0.01,40.0,1.0,0.0289226319595083,0.01,0.3810556760665221,0.0009773484442848,0.9360568383658968,0.3810556760665221,0.5416238437821171,0.5023301964879061,0.0137562094000764,0.7859136725194381,0.7219260900979609,0.0019437723940245,0.6771830329032238,0.6425667432134766,4000,0.0003457760009914,TraceLog,trial_0000_405e165c,55,6,64.66074221208692,3882.45703125,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,0,trial_0000_405e165c,0.001,0.0,0.01,1.0,0.9
0.34575,0.7863745337165001,0.7327673266879495,0.01,40.0,1.0,0.0289226319595083,0.01,0.3109182935647144,0.0006629260600311,0.9552572706935124,0.3087490961677512,0.4666666666666667,0.4545504461549869,0.007642338555598,0.7895136671040426,0.7378136165241611,0.0007501820812758,0.6880138236255464,0.6146245669881583,4000,0.0004528258377686,TraceLog,trial_0001_9087c5b9,11,7,80.18106222897768,3882.47265625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,1,trial_0001_9087c5b9,0.001,0.05,0.01,1.0,0.9
0.34575,0.8123894299218829,0.7311870395012513,0.01,40.0,1.0,0.0289226319595083,0.01,0.3015184381778741,0.002296249361243,0.9495412844036696,0.2993492407809111,0.4551951621770203,0.4440258728758604,0.0084065724111578,0.8151197838483623,0.7369327667824954,0.0011073576563067,0.7277502541229532,0.6475294162197676,4000,0.0005169938090257,TraceLog,trial_0001_9087c5b9,22,4,48.39163441210985,3882.76953125,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,1,trial_0001_9087c5b9,0.001,0.05,0.01,1.0,0.9
0.34575,0.7217836488768167,0.6757998448989713,0.01,40.0,1.0,0.0289226319595083,0.01,0.2942877801879971,0.0005185963830444,0.9327354260089686,0.3007953723788865,0.4548933843630399,0.4372029423446581,0.011463507833397,0.7222338726901335,0.6835678419835678,0.0008232250542023,0.7111820454224574,0.6153374907863387,4000,0.0009061434557661,TraceLog,trial_0001_9087c5b9,33,7,90.34372309595346,3882.796875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,1,trial_0001_9087c5b9,0.001,0.05,0.01,1.0,0.9
0.34575,0.789371651123653,0.7163850172676063,0.01,40.0,1.0,0.0289226319595083,0.01,0.2704266088214027,0.0021761612896807,0.9227166276346604,0.2848879248011569,0.4353591160220994,0.4193678790709068,0.0126098586167367,0.773503161237042,0.6936092150925731,0.002750859468113,0.6143260416139978,0.5991282147477934,4000,0.0009376488649286,TraceLog,trial_0001_9087c5b9,44,4,50.22646865993738,3882.8359375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,1,trial_0001_9087c5b9,0.001,0.05,0.01,1.0,0.9
0.34575,0.7916352034959141,0.719727942970209,0.01,40.0,1.0,0.0289226319595083,0.01,0.3275488069414317,0.0012600460997782,0.93812375249501,0.3398409255242227,0.4989384288747346,0.4712916428793131,0.0118456247611769,0.7861148157757099,0.7113161297460032,0.0012373921871549,0.5014827407757996,0.4721975035933772,4000,0.0008797717834822,TraceLog,trial_0001_9087c5b9,55,5,66.84719300828874,3882.84765625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,1,trial_0001_9087c5b9,0.001,0.05,0.01,1.0,0.9
0.34575,0.8352109006382706,0.7715277220843157,0.01,40.0,1.0,0.0289226319595083,0.01,0.28705712219812,0.0013942792278248,0.9428571428571428,0.2863340563991323,0.4392678868552412,0.4300138446407918,0.0091708062667176,0.8309700382199816,0.760849478929392,0.0012801628925953,0.5340574490559115,0.553396923190876,4000,0.0005291254781186,TraceLog,trial_0002_f8114737,11,5,72.16818223707378,3883.4296875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,2,trial_0002_f8114737,0.001,0.1,0.01,1.0,0.9
0.34575,0.8153293541229256,0.7291253133662843,0.01,40.0,1.0,0.0289226319595083,0.01,0.2494577006507592,0.0013299157144501,0.9324324324324323,0.2494577006507592,0.3936109526525955,0.3938199143617294,0.0095529231944975,0.8226901473788796,0.7406381932230514,0.0007694223966464,0.6234254254469981,0.5704593248581362,4000,0.0004232556498609,TraceLog,trial_0002_f8114737,22,4,58.24896040372551,3883.44921875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,2,trial_0002_f8114737,0.001,0.1,0.01,1.0,0.9
0.34575,0.7548721289770346,0.6554639713482516,0.01,40.0,1.0,0.0289226319595083,0.01,0.2704266088214027,0.0010182462865486,0.8873239436619719,0.2733188720173535,0.417910447761194,0.3931265061967423,0.0183416125334352,0.7541458857777074,0.6629757051468639,0.0006406722834472,0.5752795214337757,0.5426521542300706,4000,0.000934535106644,TraceLog,trial_0002_f8114737,33,5,72.28829354420304,3883.47265625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,2,trial_0002_f8114737,0.001,0.1,0.01,1.0,0.9
0.34575,0.786135261656155,0.7308871178256007,0.01,40.0,1.0,0.0289226319595083,0.01,0.334056399132321,0.0023294889833778,0.940936863543788,0.334056399132321,0.4930629669156883,0.4681116387118559,0.0110813909056171,0.7838440797157249,0.7231272272714896,0.0031090501561557,0.6092685873084684,0.6193611271699822,4000,0.0007234683227725,TraceLog,trial_0002_f8114737,44,4,54.76882173120976,3883.48046875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,2,trial_0002_f8114737,0.001,0.1,0.01,1.0,0.9
0.34575,0.7739428858144548,0.7448088922059769,0.01,40.0,1.0,0.0289226319595083,0.01,0.2971800433839479,0.0013589977764058,0.927765237020316,0.2971800433839479,0.4501642935377875,0.4318583538574331,0.0122277416889568,0.7723754604122165,0.7422187192357005,0.0011242754657287,0.5270584649951331,0.5541739468875135,4000,0.0005170371332205,TraceLog,trial_0002_f8114737,55,5,74.13795091211796,3883.48046875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,2,trial_0002_f8114737,0.001,0.1,0.01,1.0,0.9
